i=201,cost=7355,A=0.390437,B=-139.345596
i=202,cost=7340,A=0.389976,B=-137.658230
i=203,cost=7324,A=0.389517,B=-135.976988
i=204,cost=7309,A=0.389059,B=-134.301848
i=205,cost=7294,A=0.388603,B=-132.632788
i=206,cost=7278,A=0.388149,B=-130.969785
i=207,cost=7263,A=0.387696,B=-129.312818
i=208,cost=7248,A=0.387245,B=-127.661865
i=209,cost=7234,A=0.386796,B=-126.016904
i=210,cost=7219,A=0.386348,B=-124.377913
i=211,cost=7204,A=0.385902,B=-122.744870
i=212,cost=7190,A=0.385457,B=-121.117755
i=213,cost=7175,A=0.385014,B=-119.496545
i=214,cost=7161,A=0.384573,B=-117.881218
i=215,cost=7147,A=0.384134,B=-116.271755
i=216,cost=7133,A=0.383695,B=-114.668133
i=217,cost=7119,A=0.383259,B=-113.070331
i=218,cost=7105,A=0.382824,B=-111.478327
i=219,cost=7091,A=0.382391,B=-109.892102
i=220,cost=7077,A=0.381959,B=-108.311634
i=221,cost=7064,A=0.381529,B=-106.736902
i=222,cost=7050,A=0.381100,B=-105.167886
i=223,cost=7037,A=0.380673,B=-103.604564
i=224,cost=7023,A=0.380248,B=-102.046915
i=225,cost=7010,A=0.379824,B=-100.494920
i=226,cost=6997,A=0.379401,B=-98.948558
i=227,cost=6984,A=0.378980,B=-97.407808
i=228,cost=6971,A=0.378561,B=-95.872650
i=229,cost=6958,A=0.378143,B=-94.343064
i=230,cost=6946,A=0.377727,B=-92.819029
i=231,cost=6933,A=0.377312,B=-91.300526
i=232,cost=6920,A=0.376898,B=-89.787534
i=233,cost=6908,A=0.376487,B=-88.280033
i=234,cost=6896,A=0.376076,B=-86.778003
i=235,cost=6883,A=0.375668,B=-85.281425
i=236,cost=6871,A=0.375260,B=-83.790278
i=237,cost=6859,A=0.374854,B=-82.304543
i=238,cost=6847,A=0.374450,B=-80.824201
i=239,cost=6835,A=0.374047,B=-79.349231
i=240,cost=6823,A=0.373645,B=-77.879614
i=241,cost=6812,A=0.373245,B=-76.415332
i=242,cost=6800,A=0.372847,B=-74.956363
i=243,cost=6788,A=0.372450,B=-73.502690
i=244,cost=6777,A=0.372054,B=-72.054293
i=245,cost=6765,A=0.371660,B=-70.611153
i=246,cost=6754,A=0.371267,B=-69.173250
