carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,fluorescence,hasVisualization,id,imageUrl,lxwRatio,measurements,polish,price,pricePerCarat,sellingIndex,shapeCode,shapeName,skus,symmetry,table,v360BaseUrl,visualizationImageUrl,willArriveForHoliday
['7.20'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 18'],['Sep 19'],['61.9'],./diamond-details/LD05463804,['None'],[False],LD05463804,,['1.01'],"[{'label': '12.40 x 12.31 x 7.65 mm', 'labelSmall': '12.40 x 12.31 x 7.65'}]",['Excellent'],718481,"['$99,789']",0.0017500268,['RD'],['Round'],['LD05463804'],['Excellent'],['56.0'],,,False
['10.03'],['VVS1'],['G'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 16'],['Sep 17'],['61.9'],./diamond-details/LD11802498,['None'],[False],LD11802498,,['1.00'],"[{'label': '13.76 x 13.80 x 8.53 mm', 'labelSmall': '13.76 x 13.80 x 8.53'}]",['Excellent'],731143,"['$72,896']",0.0023670483,['RD'],['Round'],['LD11802498'],['Excellent'],['58.0'],,,False
['10.12'],['VS1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['62.0'],./diamond-details/LD11193308,['None'],[True],LD11193308,,['1.01'],"[{'label': '13.79 x 13.90 x 8.58 mm', 'labelSmall': '13.79 x 13.90 x 8.58'}]",['Excellent'],770742,"['$76,160']",0.00956312,['RD'],['Round'],['LD11193308'],['Excellent'],['57.0'],https://bluenile.v360.in/62/imaged/gia-2195083335/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2195083335/still_230x230.jpg,False
['7.22'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 18'],['Sep 19'],['61.8'],./diamond-details/LD12763543,['None'],[True],LD12763543,,['1.00'],"[{'label': '12.32 x 12.35 x 7.62 mm', 'labelSmall': '12.32 x 12.35 x 7.62'}]",['Excellent'],788630,"['$109,229']",0.0008889717,['RD'],['Round'],['LD12763543'],['Excellent'],['58.0'],https://bluenile.v360.in/7/imaged/gia-2205361779/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2205361779/still_230x230.jpg,False
['12.58'],['VS1'],['G'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 18'],['Sep 19'],['61.8'],./diamond-details/LD12752185,['None'],[True],LD12752185,,['1.00'],"[{'label': '14.85 x 14.90 x 9.20 mm', 'labelSmall': '14.85 x 14.90 x 9.20'}]",['Excellent'],790303,"['$62,822']",0.0042044893,['RD'],['Round'],['LD12752185'],['Excellent'],['58.0'],https://bluenile.v360.in/7/imaged/gia-6203393913/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6203393913/still_230x230.jpg,False
['10.88'],['VVS2'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['62.3'],./diamond-details/LD11643624,['None'],[True],LD11643624,,['1.01'],"[{'label': '14.06 x 14.14 x 8.78 mm', 'labelSmall': '14.06 x 14.14 x 8.78'}]",['Excellent'],867158,"['$79,702']",0.016448824,['RD'],['Round'],['LD11643624'],['Excellent'],['58.0'],https://bluenile.v360.in/62/imaged/gia-6194895416/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6194895416/still_230x230.jpg,False
['21.21'],['VS2'],['H'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['Sep 17'],['Sep 18'],['61.1'],./diamond-details/LD12781681,['Faint'],[False],LD12781681,,['1.01'],"[{'label': '17.73 x 17.84 x 10.87 mm', 'labelSmall': '17.73 x 17.84 x 10.87'}]",['Excellent'],946964,"['$44,647']",0.0008696573,['RD'],['Round'],['LD12781681'],['Excellent'],['59.0'],,,False
['10.10'],['VVS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['61.7'],./diamond-details/LD12791982,['None'],[False],LD12791982,,['1.01'],"[{'label': '13.95 x 13.88 x 8.59 mm', 'labelSmall': '13.95 x 13.88 x 8.59'}]",['Excellent'],1001352,"['$99,144']",0.007261069,['RD'],['Round'],['LD12791982'],['Excellent'],['58.0'],,,False
['10.03'],['IF'],['F'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['Sep 18'],['Sep 19'],['59.2'],./diamond-details/LD04815754,['None'],[False],LD04815754,,['1.00'],"[{'label': '14.07 x 14.14 x 8.35 mm', 'labelSmall': '14.07 x 14.14 x 8.35'}]",['Excellent'],1026069,"['$102,300']",0.0038902948,['RD'],['Round'],['LD04815754'],['Very Good'],['58.0'],,,False
['8.58'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 12'],['Sep 13'],['59.9'],./diamond-details/LD07914684,['None'],[True],LD07914684,,['1.01'],"[{'label': '13.38 x 13.30 x 7.98 mm', 'labelSmall': '13.38 x 13.30 x 7.98'}]",['Excellent'],1075361,"['$125,333']",0.00067691616,['RD'],['Round'],['LD07914684'],['Excellent'],['60.0'],https://bluenile.v360.in/59/imaged/gia-2171850889/2/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2171850889/still_230x230.jpg?v=2,False
['15.38'],['VS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['62.2'],./diamond-details/LD11847154,['None'],[False],LD11847154,,['1.00'],"[{'label': '15.86 x 15.92 x 9.88 mm', 'labelSmall': '15.86 x 15.92 x 9.88'}]",['Excellent'],1110217,"['$72,186']",0.002854807,['RD'],['Round'],['LD11847154'],['Excellent'],['56.0'],,,False
['10.51'],['VVS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['60.4'],./diamond-details/LD09832428,['None'],[True],LD09832428,,['1.01'],"[{'label': '14.18 x 14.28 x 8.59 mm', 'labelSmall': '14.18 x 14.28 x 8.59'}]",['Excellent'],1180173,"['$112,290']",0.01244214,['RD'],['Round'],['LD09832428'],['Excellent'],['60.0'],https://bluenile.v360.in/62/imaged/gia-5182446287/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5182446287/still_230x230.jpg,False
['10.65'],['VS1'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['61.3'],./diamond-details/LD12764616,['None'],[False],LD12764616,,['1.01'],"[{'label': '14.06 x 14.18 x 8.66 mm', 'labelSmall': '14.06 x 14.18 x 8.66'}]",['Excellent'],1259325,"['$118,246']",0.0037186441,['RD'],['Round'],['LD12764616'],['Excellent'],['58.0'],,,False
['21.11'],['VVS1'],['D'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['Sep 17'],['Sep 18'],['61.9'],./diamond-details/LD11922039,['None'],[False],LD11922039,,['1.01'],"[{'label': '17.60 x 17.70 x 10.94 mm', 'labelSmall': '17.60 x 17.70 x 10.94'}]",['Excellent'],2473117,"['$117,154']",0.0045354855,['RD'],['Round'],['LD11922039'],['Excellent'],['58.0'],,,False
